PlotID,FWD_CV,CWD_CV,DeadFuel_CV,CoverLv_CV,CoverDd_CV,Cover_CV,CBH_CV,AvailFuel_CV_top,AvailFuel_CV_mid,AvailFuel_CV_bot,AvailFuel_CV_vrt
FRA1_H_N,66.10704930315053,52.68916606533408,92.0640363293672,77.95713868560003,60.67336330376245,38.11022980397512,141.59297641636877,37.14024290369477,83.99255649456006,118.77440836489988,82.89574131636873
FRA1_H_Y,46.31158068805168,103.50856926189616,104.826702337498,22.805771387674717,55.46565722861718,14.743814051740427,122.6644962668037,49.95755031806861,60.26435026593686,133.45750655313643,87.99304805154921
FRA2_L_Y,58.005793992198264,126.07390963773176,97.4650997058091,31.85510623347458,72.54310138667806,16.6662880283369,133.87151309038885,72.10421006549393,83.44611867277922,68.37828065693502,63.6694529032404
FRA3_C_N,59.18499605682268,41.772893066597014,104.124738835549,63.60904006060395,55.08516064832706,34.96346383652863,152.12533114793584,37.819921025127016,56.04819534489997,88.03759208004672,90.6304281860078
FRA4_M_N,81.19346218582876,47.223672673824765,123.274216549726,20.010785445023753,41.300304187354875,14.842107235681206,155.86990722385542,50.76686436051576,85.1145789064703,99.8921711784582,85.27250048150144
FRA4_M_Y,58.43465819683572,95.60473203956111,98.8798063205107,22.286337314712114,127.21080040518342,13.129858657081906,117.6873474898568,79.2830476466179,83.481810399611,143.322958295,89.2192353451047
FRA5_X_N,80.6443583443257,70.76095780987387,109.020603059496,39.30787234388005,41.5405890352616,13.855281740918576,134.23750940361575,36.064094144749014,79.5110969624277,161.60784458917016,88.92371440276425
FRA5_X_Y,43.10174772590352,90.550304092790725,135.805625379809,50.09267848546198,102.63544495193092,30.563559692144164,106.04742534699425,45.71178860254834,57.89899101688897,137.86732874157298,106.7355482887218
FRB1_H_N,96.13221589837757,80.2265536413483,76.1220640681878,26.061854276471426,65.77177149754996,14.937075048732895,107.53856519005696,91.22988300637478,66.2799779196847,233.8979460044369,100.1359535406221
FRB1_H_Y,89.66499894209868,91.12322545841477,80.1654871843092,21.90274310162908,67.82056430380158,13.78593306540754,100.80037309421589,42.03468180677318,63.08218850394086,121.22446143873135,109.34106537636524
FRB2_C_N,86.42973298826719,80.98400353775698,133.788230366507,41.0862536198624,61.37378945537392,23.179589874791933,177.6199452965718,53.988592834113206,67.71194629910524,95.2742122763445,78.92455331899286
FRB3_X_N,52.9700023863211,101.68608395786434,117.894708982968,16.101650311986237,97.09732176719498,11.966814438379409,83.33245177086616,61.53788430218895,94.55985461794978,105.00381105419314,98.3165118495392
FRB3_X_Y,60.02572981313954,130.55602466027895,56.9121655126369,29.912066890488397,150.94399924836665,18.430803338619167,80.94939332986938,67.7544593814288,88.05358241619209,143.8595139570593,105.2321332131842
FRB4_M_Y,77.75811536370213,98.47208537597608,65.6168803784987,25.563515145327603,109.126873023848,15.25873709310392,151.49488566156796,71.14850420164215,62.41308261589913,84.68419442474875,58.42385983565558
FRB5_L_Y,77.13456230669232,143.73112697455642,124.819426928186,12.902819319018082,103.8425017886648,9.112385853154375,141.37250842364946,70.05464222690428,43.12015543119648,93.40015560926696,72.5290306400486
FRC2_L_Y,41.733247603096046,71.80371440118712,117.040157382878,42.36591899470559,83.31955809010618,33.423255292177444,128.4595801875198,69.92571124521247,70.7518204700366,119.80845919636349,94.41692996665368
FRC3_C_N,80.76876033402002,61.03547319910504,86.3171173311904,54.5345485584481,49.67426363352021,34.207653168063416,151.003481852403,60.1125983530739,55.21662484813648,100.89950877398168,57.170641114989365
FRC4_M_N,116.67874727766392,66.94659295742,98.0277843920595,12.589068970320165,71.59481951802226,10.783044688992987,144.59594035456502,58.40572221725928,49.12619583623313,102.14724407541848,82.90616673336393
FRC5_H_N,98.65861106459668,70.65297017038613,121.42091785616,20.78379096671581,106.58774200423862,15.167443759362255,162.9441592513772,70.36184758877685,56.04888395336148,70.36605484749465,90.02361663854066
FRC5_H_Y,81.38501191393075,30.820088100735997,89.5832887289014,9.613055756628055,100.63659133810758,8.537054152475141,123.84246118132418,66.7468526871973,70.72692465703466,68.22315535299195,90.06624186435414
