PlotID,FoliageMass_Mg_ha,FoliageMassLv_Mg_ha,FoliageMassDd_Mg_ha,OneHr_Mg_ha,OneHrLv_Mg_ha,OneHrDd_Mg_ha,TenHr_Mg_ha,TenHrLv_Mg_ha,TenHrDd_Mg_ha,HunHr_Mg_ha,HunHrLv_Mg_ha,HunHrDd_Mg_ha,Bole_Mg_ha,BoleLv_Mg_ha,BoleDd_Mg_ha,AvailFuel_Mg_ha,AvailFuelLv_Mg_ha,AvailFuelDd_Mg_ha,CoverLv_perc,CoverDd_perc,Cover_perc,CBD_kg_m3,CBH_m
FRA1_H_N,4.264692557144967,4.011919383721724,0.2527731734232419,8.063811446795006,2.410353616395393,5.6534578303996135,12.410681479706382,2.6585942429548637,9.75208723675152,6.646232457310523,0.5990383549863636,6.04719410232416,96.4756716455674,27.691890867763227,68.78378077780418,11.123327195742275,5.2170961919194205,5.906231003822855,33.767361111111114,18.75,52.51736111111111,0.08877991517562256,0.5
FRA1_H_Y,8.174521871794594,8.174521871794594,0,10.181015442755395,4.832463403558421,5.348552039196976,14.870796437420092,5.4923059800035325,9.37849045741656,5.952345884168327,1.200070668962559,4.752275215205768,109.22091164799474,57.63918893959943,51.58172270839531,15.93930561277078,10.590753573573805,5.348552039196976,60.59027777777778,11.805555555555555,72.39583333333333,0.11550830507547268,0.5
FRA2_L_Y,12.480078961079936,11.7840926828103,0.695986278269636,10.062316307429535,6.169831098960327,3.892485208469209,13.998764299884089,7.033037405767207,6.965726894116882,6.972076583141352,2.421237054736418,4.550839528404934,114.39901557472348,65.81720370847697,48.581811866246525,19.457479719029312,14.869008232290463,4.588471486738846,63.107638888888886,14.0625,77.17013888888889,0.1077523760420036,0
FRA3_C_N,5.358875273584616,4.921774355498254,0.4371009180863618,6.074030636661305,2.6838460276657092,3.390184608995596,8.531430138842696,2.749396685597586,5.78203345324511,3.873056055029348,0.38173567953227727,3.4913203754970703,63.53044614750836,23.530053089592737,40.00039305791562,10.090982896413069,6.263697369331108,3.8272855270819575,37.673611111111114,15.885416666666666,53.55902777777778,0.08432474438512753,0.25
FRA4_M_N,9.249770869089234,8.339561234625547,0.9102096344636874,8.479860386082763,4.808524533371037,3.6713358527117257,11.94147732191025,5.019714753481866,6.921762568428384,4.315648885578695,1.0167075141510309,3.2989413714276647,87.0346326348174,49.941031456376706,37.0936011784407,15.32536898848648,10.743823501311066,4.581545487175413,61.80555555555556,8.76736111111111,70.57291666666667,0.10523610723137168,0
FRA4_M_Y,11.80180253061566,11.769710649713732,0.03209188090192657,11.874855977495118,6.884059839827858,4.9907961376672585,18.35902695655929,7.845745501873742,10.513281454685549,5.5548606799102815,1.314076102712853,4.240784577197429,122.95844346583688,78.51334687545761,44.44509659037926,20.23462858819685,15.21174056962766,5.022888018569185,73.26388888888889,5.815972222222222,79.07986111111111,0.16731573791886767,0.5
FRA5_X_N,3.957469662087867,3.626251439741963,0.33121822234590376,8.348186713714886,2.2408154271269294,6.107371286587956,13.3321397464893,2.2777055770585526,11.054434169430746,6.282814696087128,0.312648799464745,5.970165896622382,98.71577320373626,25.959230653372813,72.75654255036345,11.185248662239289,4.746659153305428,6.43858950893386,37.58680555555556,25.260416666666668,62.84722222222223,0.0811359772035874,0.75
FRA5_X_Y,7.4210355156039105,7.4210355156039105,0,9.678494469117627,4.576501787688557,5.101992681429069,14.15414470345277,4.686611695387758,9.467533008065011,4.143649545557065,0.6126820302475069,3.5309675153095577,89.92998821919726,50.34009720869283,39.589891010504424,14.811279090877258,9.70928640944819,5.101992681429069,58.333333333333336,9.54861111111111,67.88194444444444,0.13538690071401097,0.75
FRB1_H_N,10.228077823433376,10.201719379062544,0.02635844437083286,10.769924834842696,5.942128301204637,4.827796533638058,15.907173950408382,6.198200463203191,9.70897348720519,4.455511564326791,1.0617982112990707,3.3937133530277195,101.7440390698878,62.208972058804115,39.53506701108369,18.026938507673755,13.172783529664862,4.854154978008892,66.92708333333333,11.71875,78.64583333333333,0.1610161240152991,0.25
FRB1_H_Y,9.040539758531912,8.986877544602955,0.05366221392895826,10.475401401705222,5.539443447584169,4.935957954121052,15.576422760428036,5.652169482683687,9.92425327774435,4.111194604409118,0.7196547576380455,3.391539846771072,103.82893779456144,62.343003465201406,41.48593432936003,16.74621943644505,11.75659926839504,4.98962016805001,65.53819444444444,12.15277777777778,77.69097222222223,0.16583213791136978,0.75
FRB2_C_N,5.857495859528091,5.39688510520166,0.4606107543264305,7.458937817157045,3.052822062915639,4.406115754241406,11.09650600252245,3.216281350726604,7.880224651795847,5.6723888083193215,0.5423517097159983,5.1300370986033235,89.25674148624029,29.433318127622744,59.82342335861753,11.790022645227316,6.923296136659479,4.866726508567837,49.392361111111114,15.45138888888889,64.84375,0.09624675527277868,0
FRB3_X_N,14.549473978101018,14.548785806571775,6.881715292392061e-4,11.922944164968076,7.66617172627615,4.256772438691926,19.658462486584675,10.687958110408193,8.97050437617648,3.8748724601151,1.387371848698593,2.487500611416507,115.66887085197835,83.51825118125662,32.15061967072174,22.63933227993102,18.381871669709852,4.257460610221165,79.6875,4.253472222222222,83.94097222222223,0.19680281792636625,0.75
FRB3_X_Y,11.72663992978465,11.529493024429987,0.1971469053546611,9.831817491282234,6.394048749198465,3.4377687420837697,16.457615188997995,8.695561392116808,7.762053796881188,3.1222114266325507,1.1471835647941573,1.9750278618383936,102.29577079142338,75.81968772941659,26.476083062006783,18.36143304646765,14.72651739902922,3.6349156474384303,72.74305555555556,8.333333333333334,81.07638888888889,0.17396168997322803,0
FRB4_M_Y,16.49620021725117,16.405071792845288,0.09112842440588402,12.897813330670772,8.888039544779975,4.009773785890795,17.742724996390923,10.510194617156603,7.23253037923432,8.179499560368537,4.15587696560568,4.023622594762857,153.01767776221135,108.8871451342796,44.13053262793176,24.94999377553195,20.849091565235273,4.100902210296679,69.87847222222223,8.506944444444445,78.38541666666667,0.13767744167039417,0
FRB5_L_Y,15.50338767757779,15.50338767757779,0,11.980233357248506,8.137176209401522,3.843057147846984,15.111805851793992,8.950523039112936,6.1612828126810575,6.09036981345339,2.863274065989601,3.227095747463789,120.14023949909752,84.61280219330223,35.52743730579528,23.415032930125538,19.57197578227855,3.843057147846984,80.90277777777779,4.427083333333333,85.32986111111111,0.16568482064728177,0
FRC2_L_Y,12.57329450252358,12.55010325223099,0.02319125029258924,12.129300834470246,7.445205394054924,4.684095440415322,18.355139762319844,8.706855326930413,9.648284435389431,5.793863180649331,1.727335580906103,4.066527599743228,130.14040834827765,87.62983280130196,42.510575546975694,20.97999263996636,16.27270594925845,4.70728669070791,65.19097222222221,7.638888888888889,72.82986111111111,0.16715606929323087,0
FRC3_C_N,6.979101420511698,6.976063188993864,0.00303823151783375,10.5509640674226,3.82908374698515,6.7218803204374495,16.184469724111707,3.8351775354612743,12.349292188650434,10.288603545853237,0.8292455159709918,9.459358029882244,142.36956516962363,36.84546404410957,105.52410112551404,15.615523614441724,8.890605062486438,6.724918551955284,44.270833333333336,14.583333333333332,58.854166666666664,0.08260176967477424,0
FRC4_M_N,12.53690442453524,12.464757657024096,0.07214676751114336,10.627454460485788,6.473889643731814,4.153564816753973,13.386860011672828,7.1251459725109205,6.261714039161907,5.1689887208727585,1.7608298986912445,3.4081588221815142,94.40953351498172,57.390921037062085,37.01861247791964,19.92741406315512,15.701702478890004,4.225711584265117,71.875,6.510416666666667,78.38541666666667,0.14303821413374057,0
FRC5_H_N,14.31887560080268,14.18879480369947,0.13008079710321196,11.136620013657684,7.170596774079856,3.966023239577829,14.57303800402099,7.534435460882314,7.0386025431386745,5.219491785164167,1.5387151262570586,3.6807766589071074,102.11376713147536,56.4243152975206,45.68945183395475,21.870197227420437,17.774093190739396,4.09610403668104,79.51388888888889,4.513888888888888,84.02777777777777,0.15860921470673575,0
FRC5_H_Y,26.953141916966203,26.77207671511255,0.18106520185365133,17.242509948207637,13.826347217787838,3.416162730419799,19.989526755066937,13.60956180744759,6.379964947619345,4.600616109231369,2.586714588415804,2.013901520815566,131.97279163547188,106.90880673127135,25.063984904200534,37.28247825627992,33.68525032400647,3.5972279322734497,86.11111111111111,2.864583333333333,88.97569444444444,0.275013303853249,0.25
FRD1_L_Y,5.565718695721446,5.370191500385212,0.19552719533623397,7.507198698524753,3.156274526780574,4.350924171744179,10.93176406862944,3.5677574566440753,7.3640066119853635,4.355665326316211,0.5150671428594679,3.840598183456742,75.23513292842493,33.579306548289175,41.65582638013576,11.494780130855911,6.948328763775499,4.546451367080413,53.55902777777778,16.84027777777778,70.39930555555556,0.10826413059740787,1.5
FRD2_C_N,2.9060891979871326,2.9060891979871326,0,7.951023652076154,1.726432845612063,6.224590806464092,13.068804690873504,1.847982495067729,11.220822195805775,6.998369303929758,0.2927603648542272,6.705608939075531,97.99184311128307,19.729239673048575,78.26260343823452,9.993896427257257,3.769305620793164,6.224590806464092,20.65972222222222,30.64236111111111,51.30208333333333,0.08969447927846515,0
FRD3_M_N,3.894877514438488,3.8941478622657546,7.296521727340553e-4,8.571552053893441,2.2433620388373483,6.328190015056094,12.379833523665909,2.278490437820433,10.101343085845476,6.769407656966942,0.2660856318117347,6.5033220251552075,93.14081665324564,20.917910353840753,72.22290629940488,11.344748548913255,5.0158288816844285,6.328919667228828,30.555555555555557,28.645833333333332,59.201388888888886,0.08846603740765528,0
FRD3_M_Y,8.411506640708176,8.411506640708176,0,9.27223209317531,4.682571790501914,4.589660302673395,12.807761412560346,5.3004738198157595,7.5072875927445875,5.462498117796682,0.917313827903117,4.545184289893565,93.63576194150788,47.13930591879661,46.49645602271127,15.342452838632529,10.752792535959134,4.589660302673395,59.201388888888886,12.239583333333334,71.44097222222221,0.1065994144999171,0
FRD4_X_N,26.210315043604226,26.210315043604226,0,17.46205546966193,13.55681636584812,3.905239103813809,19.11060441802901,13.637362078095569,5.47324233993344,3.4075730649743634,3.040528113407631,0.3670449515667325,118.94105375778685,111.51276624265611,7.428287515130723,36.8939623303421,32.988723226528286,3.905239103813809,88.02083333333333,0.5208333333333333,88.54166666666666,0.28346737642922343,0
FRD4_X_Y,10.920721494746903,10.920721494746903,0,10.366446910927122,5.993435549656551,4.37301136127057,14.035291536895205,6.694983077734146,7.340308459161057,5.07984444773919,1.7286573271725505,3.3511871205666397,97.78863178868065,60.99760468583555,36.7910271028451,18.29045063084575,13.917439269575182,4.37301136127057,67.01388888888889,6.163194444444445,73.17708333333333,0.14215907716033407,0
FRD5_H_N,7.062964564303572,6.767815935617939,0.2951486286856328,10.006360562779824,3.989752644861764,6.016607917918061,14.38513360585283,4.023420521507978,10.361713084344856,5.894466044449124,0.34772999288668804,5.546736051562436,100.99172133426448,38.862204129611115,62.12951720465336,15.074448804652516,8.762692258048821,6.311756546603694,58.94097222222222,11.71875,70.65972222222221,0.13133274207424314,0.75
FRD5_H_Y,5.481605721581797,5.481605721581797,0,7.478594996848047,3.3370461657742663,4.141548831073782,10.779619830244684,3.3767503201646796,7.402869510080005,3.1596528789269405,0.31158969227858463,2.848063186648356,65.57026321421476,33.2412758706874,32.32898734352735,11.291677635542712,7.15012880446893,4.141548831073782,41.75347222222222,15.104166666666666,56.85763888888889,0.12218794158576116,0.5
