PlotID,Forb_Mg_ha,Gram_Mg_ha,ShrubLo_Mg_ha,ShrubHi_Mg_ha,LiveSdl_Mg_ha,Herb_Mg_ha,Woody_Mg_ha,OneHr_Mg_ha,TenHr_Mg_ha,HunHr_Mg_ha,FWD_Mg_ha,CWD_rot_Mg_ha,CWD_snd_Mg_ha,CWD_Mg_ha,Litter_cm,Duff_cm,DeadFuel_cm
FRA1_H_N,0.005489,0,0.23905839895013123,1.4247484019999996,0.30642856893064735,0.005489,1.9702353698807784,2.5525045119421397,8.96780164458023,3.327274950602839,14.847581107125208,11.271828549256504,28.60632120338628,39.878149752642784,7.955,3.475,12.85
FRA1_H_Y,0.005489,0.0124448,0.12136811023622048,0.508838715,0.10278785037877598,0.0179338,0.7329946756149965,2.1672932397343376,3.2101352702212256,3.0056222762095746,8.383050786165139,12.59612841345598,16.611255365491374,29.207383778947356,2.56,3.16,10.4
FRA2_L_Y,0.0257446,0,0.11033464566929134,1.119445173,0.4080665161119793,0.0257446,1.6378463347812704,3.442008310092473,5.553369676643799,4.051333702972553,13.046711689708824,64.44467091530466,40.98628952710256,105.4309604424072,2.395,4.575,8.30666666666667
FRA3_C_N,0.005489,0.0138118,0.1765354330708661,0.7123742009999998,0.599205075115553,0.0193008,1.4881147091864189,3.4944408634528137,7.898251831138127,7.0968776917805485,18.48957038637149,35.38716753700529,73.53347544563572,108.920642982641,2.83888888888889,3.16666666666667,27.0966666666667
FRA4_M_N,0.005489,0.0138118,0.10518569553805772,0.30530322899999995,1.3798306522454655,0.0193008,1.7903195767835232,1.742458965026378,3.8401935287817937,3.217062508176335,8.799715001984506,25.516659698133537,16.828199364982716,42.344859063116246,2.465,2.61,14.8925
FRA4_M_Y,0.005489,0,0.2103713910761155,0.101767743,0.3859831200209121,0.005489,0.6981222540970276,2.5603725794759025,4.272402090941356,4.12143223620221,10.954206906619468,10.604014702905522,4.376496565804549,14.98051126871007,2.975,3.4,15.07
FRA5_X_N,0.005489,0.00834379999999999,0.12357480314960628,0.203535486,0.3100177339903746,0.0138328,0.6371280231399808,2.8619944229194343,5.925128258333727,5.685354607495858,14.47247728874902,12.88945752420499,25.42868013635013,38.31813766055513,3.33,3.5,22.5133333333333
FRA5_X_Y,0.005489,0.0124448,0.15226181102362202,0.203535486,0.00637738771141808,0.0179338,0.3621746847350401,2.277266541463141,2.571187884110415,1.6636374753014196,6.512091900874976,10.991814086178804,8.57599792543081,19.567812011609615,2.085,3.955,11.0766666666667
FRB1_H_N,0.005489,0,0.1375505249343832,0.101767743,0.5828797734871953,0.005489,0.8221980414215785,1.6544559869947428,4.783398956903639,4.289416677568448,10.727271621466828,36.499159857879405,18.79370457017328,55.29286442805268,2.865,2.405,6.10333333333333
FRB1_H_Y,0.005489,0.0138118,0.02942257217847769,0.407070972,0.18615579712581473,0.0193008,0.6226493413042924,3.8117142124405943,5.769543795061622,6.122237937089607,15.703495944591824,16.7091416893325,23.59181958982682,40.30096127915932,2.93,4.285,14.4933333333333
FRB2_C_N,0.005489,0.04115179999999999,0.0956233595800525,0.814141944,0.36889959126039273,0.04664079999999999,1.278664894840445,3.0148084457872124,5.890405463570555,5.712811539621453,14.61802544897922,28.963615566422916,54.69258012991157,83.65619569633449,3.06,2.97,14.44
FRB3_X_N,0.005489,0,0.16770866141732282,0.203535486,0.25024129510445275,0.005489,0.6214854425217755,2.8278711904604976,3.9602072720550026,4.335702291589116,11.123780754104615,25.193786503068996,8.711077505989069,33.904864009058066,2.01,5.03,12.68
FRB3_X_Y,0.005489,0.0069768,0.20080905511811023,0.6106064579999999,0.34439414276966873,0.01246579999999999,1.1558096558877788,2.299082268667072,2.828719480039288,1.6675778044573526,6.795379553163712,14.975455694495125,7.645352642085483,22.620808336580605,2.645,2.83,7.23666666666667
FRB4_M_Y,0.0156168,0.0138118,0.12357480314960628,0.101767743,0.3528806913306475,0.0294286,0.5782232374802537,2.829136642179083,2.4730624844315696,2.7623596013804943,8.064558727991146,20.98343482229307,28.74226830864087,49.725703130933944,2.825,5.14,10.9166666666667
FRB5_L_Y,0.0460002,0.0124448,0.08091207349081365,0.203535486,0.5912484033817712,0.058445,0.8756959628725849,2.2257474362689957,2.633616217823432,7.33585140258776,12.195215056680189,33.44150572889041,6.94998008338251,40.39148581227292,1.975,3.27,11.9833333333333
FRC2_L_Y,0.0257446,0,0.16770866141732282,0.7123742009999998,0.3762303735598493,0.0257446,1.256313235977172,2.651325532352649,3.696161528259751,4.985731930677044,11.333218991289444,11.84418116891366,41.63382557654947,53.47800674546312,2.64,3.87,24.28
FRC3_C_N,0.0358724,0.00971079999999999,0.05884514435695538,0.407070972,0.7722300588061,0.0455832,1.2381461751630554,1.586541478618336,5.5553307656815285,3.3493920418023273,10.491264286102192,26.77392916846024,74.48037456511064,101.25430373357086,2.865,1.83,15.6633333333333
FRC4_M_N,0.0358724,0.0329498,0.14343503937007873,0.7123742009999998,0.6063008921931253,0.0688222,1.462110132563204,3.6308420090383167,2.0513933493552425,4.42161628789805,10.10385164629161,23.674770455750306,21.743395892494625,45.41816634824493,1.5,3.69,7.21666666666667
FRC5_H_N,0.005489,0.0069768,0.16255971128608923,0.6106064579999999,0.3817507721973125,0.01246579999999999,1.1549169414834015,2.3218649882434637,4.343124189122836,4.675412429659338,11.340401607025637,37.46435238471807,15.376616866978951,52.84096925169702,3.925,3.555,11.98
